sector,top_terms
Consumer Discretionary,"compensation, board, company, stock, committee, executive, annual, proxy, performance, shares, directors, meeting, fiscal, mr, plan, shareholders, director, awards, year, statement"
Energy,"compensation, board, performance, stock, committee, executive, company, plan, annual, proxy, shares, directors, director, year, awards, occidental, meeting, table, mr, chevron"
Financials,"board, compensation, company, committee, performance, stock, executive, annual, proxy, director, directors, shares, management, risk, meeting, mr, citi, financial, table, year"
Healthcare,"compensation, company, board, committee, executive, performance, annual, stock, plan, directors, proxy, year, shares, director, meeting, abbott, abbvie, shareholders, awards, table"
Technology,"compensation, board, stock, shares, committee, executive, directors, plan, annual, company, performance, proxy, meeting, year, stockholders, awards, director, fiscal, mr, ibm"
