meeting_year,theme_integrity_responsibility,theme_operational_excellence,theme_innovation_science,theme_people_talent,theme_diversity_inclusion,theme_customer_client_focus,theme_community_social_good,theme_environmental_stewardship,theme_leadership_governance,theme_human_progress_wellbeing,theme_profitable_growth,theme_heritage_longevity,theme_safety
2016,2.666,5.546,1.115,3.284,2.165,4.655,0.435,0.868,28.134,0.582,7.914,0.146,0.207
2017,2.744,5.735,1.163,3.355,2.364,4.442,0.457,0.876,27.72,0.588,7.827,0.144,0.191
2018,2.778,5.84,1.241,3.749,2.375,4.496,0.502,0.88,28.067,0.626,8.002,0.141,0.211
2019,2.923,5.885,1.455,4.009,2.696,4.738,0.577,1.119,29.331,0.703,8.012,0.159,0.255
2020,2.896,5.695,1.461,4.402,2.771,4.633,0.692,1.413,28.696,0.826,7.773,0.223,0.301
2021,2.935,5.528,1.565,4.723,3.441,4.622,0.884,1.904,27.799,1.103,7.785,0.203,0.427
2022,2.934,5.517,1.734,4.764,3.274,4.474,0.867,2.759,27.4,1.209,7.741,0.215,0.453
2023,3.096,5.619,1.915,4.478,3.585,4.589,0.688,2.966,28.074,1.242,8.033,0.225,0.433
2024,3.161,5.926,2.011,4.462,3.188,4.589,0.716,2.824,27.933,1.179,7.899,0.208,0.508
