sector,theme_integrity_responsibility,theme_operational_excellence,theme_innovation_science,theme_people_talent,theme_diversity_inclusion,theme_customer_client_focus,theme_community_social_good,theme_environmental_stewardship,theme_leadership_governance,theme_human_progress_wellbeing,theme_profitable_growth,theme_heritage_longevity,theme_safety
Consumer Discretionary,2.862,4.889,1.166,3.52,2.913,4.17,0.686,1.463,26.762,0.695,8.004,0.188,0.335
Energy,2.295,7.403,1.079,4.376,1.932,3.548,0.488,3.244,26.202,0.754,7.913,0.152,0.696
Financials,3.438,5.28,1.022,4.369,3.329,6.489,0.887,1.995,30.698,0.662,7.557,0.242,0.172
Healthcare,2.957,6.006,2.47,4.404,2.537,4.461,0.56,0.954,29.305,1.851,8.193,0.184,0.246
Technology,2.966,4.918,1.852,4.012,3.654,4.243,0.611,1.017,27.673,0.516,7.77,0.158,0.21
